TotalCores,MatrixSize,SingleCore,Time
5,900,4,144512.8
5,1000,0,261979.8
5,1000,1,261979.43333333332
5,1000,2,261979.03333333333
5,1000,3,261979.4
5,1000,4,261979.5
6,100,0,121.53333333333333
6,100,1,121.5
6,100,2,121.6
6,100,3,121.56666666666666
6,100,4,121.5
6,100,5,122.46666666666667
6,200,0,1093.2333333333333
6,200,1,1093.3333333333333
6,200,2,1093.1666666666667
6,200,3,1093.3333333333333
6,200,4,1093.1666666666667
6,200,5,1093.1333333333334
6,300,0,3741.7
6,300,1,3741.866666666667
6,300,2,3742.0333333333333
6,300,3,3742.0333333333333
6,300,4,3741.8
6,300,5,3741.9333333333334
6,400,0,10588.4
6,400,1,10588.9
6,400,2,10588.833333333334
6,400,3,10588.733333333334
6,400,4,10588.6
6,400,5,10588.566666666668
6,500,0,20194.633333333335
6,500,1,20194.866666666665
6,500,2,20194.366666666665
6,500,3,20194.4
6,500,4,20194.466666666667
6,500,5,20194.333333333332
6,600,0,36497.433333333334
6,600,1,36497.63333333333
6,600,2,36497.066666666666
6,600,3,36497.433333333334
6,600,4,36497.4
6,600,5,36497.36666666667
6,700,0,56873.8
6,700,1,56873.666666666664
6,700,2,56873.7
6,700,3,56873.86666666667
6,700,4,56873.4
6,700,5,56873.4
6,800,0,93659.66666666667
6,800,1,93660.46666666666
6,800,2,93659.8
6,800,3,93659.63333333333
6,800,4,93659.63333333333
6,800,5,93659.7
6,900,0,124775.36666666667
6,900,1,124775.33333333333
6,900,2,124775.43333333333
6,900,3,124775.3
6,900,4,124775.4
6,900,5,124775.43333333333
6,1000,0,220132.6
6,1000,1,220132.33333333334
6,1000,2,220132.26666666666
6,1000,3,220132.23333333334
6,1000,4,220132.16666666666
6,1000,5,220132.16666666666
7,100,0,108.8
7,100,1,108.7
7,100,2,108.6
7,100,3,108.66666666666667
7,100,4,108.63333333333334
7,100,5,108.76666666666667
7,100,6,108.56666666666666
7,200,0,936.6
7,200,1,936.6333333333333
7,200,2,936.8
7,200,3,936.7
7,200,4,936.7333333333333
7,200,5,936.6666666666666
7,200,6,936.6666666666666
7,300,0,3225.4333333333334
7,300,1,3225.6
7,300,2,3225.766666666667
7,300,3,3225.7
7,300,4,3225.5333333333333
7,300,5,3225.7
7,300,6,3225.4333333333334
7,400,0,9528.933333333332
7,400,1,9528.466666666667
7,400,2,9528.4
7,400,3,9528.366666666667
7,400,4,9528.433333333332
7,400,5,9528.4
7,400,6,9528.466666666667
7,500,0,18043.6
7,500,1,18043.766666666666
7,500,2,18043.866666666665
7,500,3,18043.233333333334
7,500,4,18043.233333333334
7,500,5,18043.233333333334
7,500,6,18043.333333333332
7,600,0,33176.36666666667
7,600,1,33178.166666666664
7,600,2,33178.23333333333
7,600,3,33178.3
7,600,4,33178.36666666667
7,600,5,33178.26666666667
7,600,6,33176.166666666664
7,700,0,51148.53333333333
7,700,1,51150.666666666664
7,700,2,51149.73333333333
7,700,3,51150.36666666667
7,700,4,51150.1
7,700,5,51149.9
7,700,6,51148.76666666667
7,800,0,87904.03333333334
7,800,1,87907.6
7,800,2,87907.63333333333
7,800,3,87906.56666666667
7,800,4,87905.8
7,800,5,87907.43333333333
7,800,6,87903.3
7,900,0,110509.4
7,900,1,110509.33333333333
7,900,2,110509.26666666666
7,900,3,110509.16666666667
7,900,4,110509.1
7,900,5,110508.96666666666
7,900,6,110508.93333333333
7,1000,0,200279.03333333333
7,1000,1,200282.53333333333
7,1000,2,200282.73333333334
7,1000,3,200281.96666666667
7,1000,4,200283.0
7,1000,5,200282.86666666667
7,1000,6,200280.8
8,100,0,116.63333333333334
8,100,1,116.53333333333333
8,100,2,116.66666666666667
8,100,3,116.56666666666666
8,100,4,116.7
8,100,5,116.63333333333334
8,100,6,116.53333333333333
8,100,7,116.46666666666667
8,200,0,943.3
8,200,1,943.4333333333333
8,200,2,943.5
8,200,3,943.3333333333334
8,200,4,943.4333333333333
8,200,5,943.4666666666667
8,200,6,943.5666666666667
8,200,7,943.2666666666667
8,300,0,3387.5333333333333
8,300,1,3387.1
8,300,2,3387.1
8,300,3,3387.233333333333
8,300,4,3387.266666666667
8,300,5,3387.0666666666666
8,300,6,3387.0666666666666
