TotalCores,MatrixSize,Time,Speedup,Eficiencia
9,800,57465.9074074074,7.659620921776809,0.8510689913085343
9,900,82135.5814814815,7.829011760004584,0.869890195556065
9,1000,116060.51111111109,7.886836713339002,0.8763151903710003
10,100,80.87333333333332,6.603330310774051,0.660333031077405
10,200,684.2600000000001,8.28885706213038,0.8288857062130379
10,300,2325.8433333333332,8.788410798663712,0.8788410798663712
10,400,6177.403333333334,8.157267805620592,0.8157267805620592
10,500,12407.673333333332,8.061100362087762,0.8061100362087762
10,600,21517.943333333333,8.22528113359037,0.822528113359037
10,700,34523.44666666667,8.266980681921098,0.8266980681921098
10,800,51959.166666666664,8.471403505958204,0.8471403505958204
10,900,74329.27,8.651241070083607,0.8651241070083607
10,1000,105261.13999999998,8.695994552215568,0.8695994552215568
11,100,79.32121212121213,6.732541259168703,0.612049205378973
11,200,648.7333333333333,8.742780803617306,0.7947982548743006
11,300,2165.357575757576,9.439765004870075,0.8581604549881887
11,400,5768.269696969698,8.735849046691696,0.7941680951537905
11,500,11400.9,8.772947749739055,0.7975407045217323
11,600,19828.40606060606,8.926140245078457,0.8114672950071324
11,700,31653.70909090909,9.016468365428764,0.8196789423117058
11,800,47740.23636363636,9.220043723996746,0.8381857930906133
11,900,68215.2787878788,9.426633516120665,0.8569666832836969
11,1000,95671.45454545454,9.567642766057322,0.8697857060052111
12,100,74.35833333333333,7.181889499047405,0.5984907915872838
12,200,581.938888888889,9.746269654125575,0.8121891378437979
12,300,1946.2611111111112,10.502427731804856,0.875202310983738
12,400,5224.919444444445,9.64430817912663,0.8036923482605526
12,500,10564.647222222224,9.467377177499484,0.788948098124957
12,600,18149.291666666664,9.751958180186097,0.8126631816821748
12,700,29390.358333333334,9.710826367944364,0.8092355306620304
12,800,44121.13888888888,9.976330569687875,0.8313608808073228
12,900,62816.13055555557,10.236867945322075,0.8530723287768396
12,1000,88774.42222222222,10.31096882510453,0.8592474020920441
13,100,67.39999999999999,7.923343224530169,0.6094879403484745
13,200,549.0153846153845,10.330736610061837,0.7946720469278337
13,300,1852.669230769231,11.03298221139008,0.8486909393376985
13,400,4807.266666666666,10.482200557489357,0.8063231198068735
13,500,9849.379487179485,10.154903679992337,0.7811464369224874
13,600,17140.83076923077,10.325703328863572,0.794284871451044
13,700,27249.387179487177,10.473801292731967,0.8056770225178436
13,800,41400.187179487184,10.632006680509866,0.8178466677315281
13,900,59556.72307692308,10.797109043470817,0.8305468494977551
13,1000,82073.58205128205,11.152800659145857,0.8579077430112197
14,100,66.58095238095238,8.020812473179802,0.5729151766557001
14,200,515.2619047619047,11.007476549142833,0.7862483249387738
14,300,1725.638095238095,11.845164245662062,0.846083160404433
14,400,4518.169047619048,11.152910128470708,0.7966364377479077
14,500,9226.909523809525,10.839978406844162,0.7742841719174401
14,600,15971.583333333332,11.081627265090605,0.7915448046493289
14,700,25629.84761904762,11.135636501192433,0.7954026072280309
14,800,39352.59285714286,11.185211309063012,0.7989436649330723
14,900,56856.76666666667,11.309831195700541,0.8078450854071815
14,1000,79943.56666666668,11.449955739611315,0.8178539814008082
15,100,64.56,8.271891780256091,0.5514594520170727
15,200,493.02888888888884,11.50385598319684,0.7669237322131226
15,300,1591.8866666666665,12.840403211283887,0.8560268807522591
15,400,4211.500000000001,11.965032252958167,0.7976688168638778
15,500,8681.262222222222,11.521308473319804,0.7680872315546536
15,600,15118.637777777776,11.706817501341613,0.7804545000894408
15,700,24016.760000000006,11.883562423352135,0.7922374948901424
15,800,36633.31555555556,12.015485357833354,0.8010323571888903
15,900,52772.14666666666,12.185224099278637,0.8123482732852424
15,1000,74862.52444444444,12.227083000377345,0.815138866691823
16,100,60.889583333333334,8.770520409210661,0.5481575255756663
16,200,469.5708333333334,12.078546900094944,0.754909181255934
16,300,1503.4770833333334,13.595462739843335,0.8497164212402084
16,400,3979.6874999999995,12.6619824630284,0.791373903939275
16,500,8310.6375,12.035117642900438,0.7521948526812774
16,600,14105.954166666666,12.547264172428369,0.784204010776773
16,700,21580.983333333337,13.224822162104134,0.8265513851315084
16,800,34362.05625,12.809683549326785,0.800605221832924
16,900,49566.32083333333,12.97333395987884,0.8108333724924275
16,1000,70630.36875,12.959727043758356,0.8099829402348973
17,100,63.27450980392156,8.439944220638365,0.49646730709637443
17,200,421.40980392156865,13.458949650798672,0.791702920635216
17,300,1425.7156862745098,14.336986583965398,0.8433521519979646
17,400,4126.868627450981,12.210404033253145,0.7182590607795968
17,500,8713.566666666666,11.478594681856263,0.6752114518738979
17,600,14055.092156862747,12.592669714151466,0.7407452773030274
17,700,20646.760784313727,13.823217581108484,0.8131304459475579
17,800,34696.376470588235,12.686254630646857,0.7462502723909916
17,900,46374.17843137256,13.866346641266006,0.8156674494862356
17,1000,70104.41176470589,13.056957143756161,0.7680563025738918
18,100,10202.812962962962,0.05234177430007955,0.0029078763500044198
18,200,10327.594444444443,0.5491824222807614,0.03051013457115341
18,300,12087.961111111108,1.6909772027540722,0.09394317793078179
18,400,15650.474074074074,3.2197576312917273,0.1788754239606515
18,500,19991.203703703704,5.003175470693129,0.2779541928162849
18,600,25664.285185185185,6.89639832382716,0.38313324021262
18,700,29873.444444444445,9.55379173625033,0.5307662075694628
18,800,50326.98888888889,8.746143498440974,0.4858968610244985
18,900,69854.63888888889,9.205407737575689,0.5114115409764272
18,1000,94377.70000000001,9.698798550928874,0.5388221417182708
19,100,10431.164912280703,0.05119594386860964,0.0026945233615057705
19,200,10889.950877192981,0.520822673792932,0.027411719673312213
19,300,13022.043859649124,1.5696819091513512,0.08261483732375532
19,400,16112.084210526315,3.1275117902134695,0.16460588369544576
19,500,20132.759649122803,4.967997519622597,0.2614735536643472
19,600,25508.5052631579,6.938514487909363,0.36518497304786124
19,700,33846.72631578948,8.432267983728918,0.4438035780909957
19,800,49559.85614035088,8.881524301041894,0.4674486474232576
19,900,68262.56842105264,9.420103113714886,0.4957949007218361
19,1000,88351.10350877192,10.36037201175557,0.5452827374608195
20,100,10374.928333333333,0.0514734479290379,0.002573672396451895
20,200,10951.173333333332,0.5179110183627205,0.025895550918136022
20,300,13161.779999999995,1.5530168918388452,0.07765084459194226
20,400,15811.451666666664,3.1869770338397143,0.1593488516919857
20,500,19908.073333333334,5.024067287944488,0.2512033643972244
20,600,24935.049999999996,7.09808616118008,0.354904308059004
20,700,32641.81666666667,8.743528878345721,0.43717644391728605
20,800,46614.88333333333,9.442629374809833,0.47213146874049167
20,900,67282.23833333333,9.557357918854414,0.4778678959427207
20,1000,85407.47499999999,10.71744949724834,0.5358724748624171
