TotalCores,MatrixSize,SingleCore,Time
5,900,3,137074.63333333333
5,900,4,137074.6
5,1000,0,194650.1
5,1000,1,194649.83333333334
5,1000,2,194650.1
5,1000,3,194650.06666666668
5,1000,4,194650.03333333333
6,100,0,97.36666666666666
6,100,1,97.33333333333333
6,100,2,97.43333333333334
6,100,3,97.53333333333333
6,100,4,97.36666666666666
6,100,5,97.3
6,200,0,986.5
6,200,1,986.5
6,200,2,986.3
6,200,3,986.4333333333333
6,200,4,986.3666666666667
6,200,5,986.3333333333334
6,300,0,3505.633333333333
6,300,1,3505.6666666666665
6,300,2,3505.8333333333335
6,300,3,3505.7
6,300,4,3505.6666666666665
6,300,5,3505.5666666666666
6,400,0,9260.866666666667
6,400,1,9261.2
6,400,2,9261.033333333333
6,400,3,9261.333333333334
6,400,4,9260.733333333334
6,400,5,9260.9
6,500,0,18717.1
6,500,1,18717.766666666666
6,500,2,18716.7
6,500,3,18716.966666666667
6,500,4,18716.9
6,500,5,18716.733333333334
6,600,0,32923.36666666667
6,600,1,32923.3
6,600,2,32923.23333333333
6,600,3,32923.03333333333
6,600,4,32923.333333333336
6,600,5,32923.36666666667
6,700,0,52348.7
6,700,1,52348.433333333334
6,700,2,52348.333333333336
6,700,3,52348.2
6,700,4,52348.23333333333
6,700,5,52348.23333333333
6,800,0,81561.3
6,800,1,81561.63333333333
6,800,2,81561.1
6,800,3,81561.0
6,800,4,81560.96666666666
6,800,5,81561.06666666667
6,900,0,117766.13333333333
6,900,1,117766.13333333333
6,900,2,117766.36666666667
6,900,3,117766.2
6,900,4,117766.16666666667
6,900,5,117766.13333333333
6,1000,0,167805.43333333332
6,1000,1,167805.56666666668
6,1000,2,167805.56666666668
6,1000,3,167805.33333333334
6,1000,4,167805.16666666666
6,1000,5,167805.36666666667
7,100,0,92.13333333333334
7,100,1,91.96666666666667
7,100,2,91.86666666666666
7,100,3,92.06666666666666
7,100,4,91.93333333333334
7,100,5,92.1
7,100,6,92.06666666666666
7,200,0,854.9666666666667
7,200,1,855.1
7,200,2,855.1333333333333
7,200,3,855.1
7,200,4,855.0333333333333
7,200,5,854.7666666666667
7,200,6,855.7333333333333
7,300,0,3046.4
7,300,1,3046.4333333333334
7,300,2,3046.4
7,300,3,3046.8
7,300,4,3046.5
7,300,5,3046.5666666666666
7,300,6,3046.366666666667
7,400,0,8247.166666666666
7,400,1,8246.733333333334
7,400,2,8246.833333333334
7,400,3,8246.733333333334
7,400,4,8246.866666666667
7,400,5,8246.733333333334
7,400,6,8246.866666666667
7,500,0,16476.866666666665
7,500,1,16477.066666666666
7,500,2,16476.766666666666
7,500,3,16476.666666666668
7,500,4,16476.766666666666
7,500,5,16476.7
7,500,6,16476.766666666666
7,600,0,29166.533333333333
7,600,1,29166.466666666667
7,600,2,29166.166666666668
7,600,3,29166.233333333334
7,600,4,29166.233333333334
7,600,5,29166.033333333333
7,600,6,29166.133333333335
7,700,0,46628.03333333333
7,700,1,46628.1
7,700,2,46628.2
7,700,3,46628.23333333333
7,700,4,46628.0
7,700,5,46628.23333333333
7,700,6,46628.166666666664
7,800,0,72060.0
7,800,1,72059.83333333333
7,800,2,72059.46666666666
7,800,3,72059.6
7,800,4,72059.63333333333
7,800,5,72059.53333333334
7,800,6,72059.4
7,900,0,104210.56666666667
7,900,1,104210.6
7,900,2,104210.66666666667
7,900,3,104210.63333333333
7,900,4,104210.2
7,900,5,104210.3
7,900,6,104210.26666666666
7,1000,0,147354.63333333333
7,1000,1,147354.93333333332
7,1000,2,147354.93333333332
7,1000,3,147354.93333333332
7,1000,4,147354.96666666667
7,1000,5,147354.76666666666
7,1000,6,147354.83333333334
8,100,0,102.43333333333334
8,100,1,102.66666666666667
8,100,2,102.73333333333333
8,100,3,102.76666666666667
8,100,4,102.76666666666667
8,100,5,102.9
8,100,6,102.66666666666667
8,100,7,102.43333333333334
8,200,0,846.8
8,200,1,847.0
8,200,2,846.8666666666667
8,200,3,846.8666666666667
8,200,4,846.7666666666667
8,200,5,846.8666666666667
8,200,6,846.8666666666667
8,200,7,846.8333333333334
8,300,0,2928.5333333333333
8,300,1,2928.3333333333335
8,300,2,2928.5333333333333
8,300,3,2928.5333333333333
8,300,4,2927.9666666666667
8,300,5,2928.366666666667
8,300,6,2928.3333333333335
8,300,7,2928.0666666666666
8,400,0,7670.233333333334
8,400,1,7670.433333333333
8,400,2,7670.366666666667
8,400,3,7670.333333333333
8,400,4,7670.2
8,400,5,7670.266666666666
8,400,6,7670.3
8,400,7,7670.133333333333
8,500,0,15354.3
8,500,1,15353.8
8,500,2,15353.566666666668
8,500,3,15353.5
8,500,4,15353.533333333333
8,500,5,15353.6
8,500,6,15353.533333333333
8,500,7,15353.333333333334
8,600,0,26548.833333333332
